State id,Simulated total infected,Simulated total death,Simulated total recovery
1.0,150218.31870647852,5203.140687490502,195349.32159922403
1.0,145262.27469122966,5715.870014456821,201420.581870105
1.0,140328.92375909243,6254.903669845173,207284.75324120186
1.0,135440.28231620704,6818.204795322839,212939.60419691924
1.0,130614.74931770528,7403.501108232538,218384.61250637207
1.0,125867.53960692864,8008.347562633841,223620.72434386305
1.0,121211.08007249131,8630.187679059876,228650.12688414173
1.0,116655.36805744084,9266.410917766068,233476.0379297301
1.0,112208.29292558983,9914.40423883368,238102.51476153458
1.0,107875.92262563089,10571.59672082402,242534.2832324186
1.0,103662.75764292589,11235.496738576867,246776.58717724562
1.0,99571.9550052192,11903.721701754952,250835.0574953325
1.0,95605.52509671482,12574.020723847749,254715.59975549873
1.0,91764.50399742142,13244.290836978767,258424.29885119884
