State id,Date,Simulated total infected,Simulated total death,Simulated total recovery
20.0,14/4/2020,2205.6426115384907,14.449231743961722,628.4085628279679
20.0,15/4/2020,2374.6893354235895,16.241884367018727,702.2890283511459
20.0,16/4/2020,2554.1004115691967,18.01649588733965,782.2746193011509
20.0,17/4/2020,2744.601698562313,19.841152383005895,868.6620391824216
20.0,18/4/2020,2927.8469564366587,21.799619132689465,958.3789399178302
20.0,19/4/2020,3065.2718332463337,23.807308366879457,1057.340818523644
20.0,20/4/2020,3139.26495422207,26.027514879632072,1168.3884839348596
20.0,21/4/2020,3147.3824029215134,28.40431671936619,1291.9059591619477
20.0,22/4/2020,3117.646721672051,30.86881908348109,1430.3505599374398
20.0,23/4/2020,3072.23383800781,33.59145673741197,1562.151698944524
20.0,24/4/2020,2986.794497979243,36.479281367198475,1700.599239485021
20.0,25/4/2020,2879.727935578394,39.620266135627766,1840.1581784296536
20.0,26/4/2020,2761.8517855834643,43.123492958018204,1977.5272007167612
20.0,27/4/2020,2639.6528392113228,46.86796055358679,2110.9678424001613
20.0,28/4/2020,2517.0566166409044,51.039675613697085,2239.242496829047
20.0,29/4/2020,2396.432221659627,55.556081870998014,2361.880124664414
20.0,30/4/2020,2279.1843398708766,60.43182816179025,2478.6221784593617
20.0,1/5/2020,2166.112530538776,65.68425737700733,2589.4001681236655
20.0,2/5/2020,2057.6342470423897,71.33322317448729,2694.2621127429625
20.0,3/5/2020,1953.9255167071901,77.40096985514076,2793.3257255630333
20.0,4/5/2020,1854.4885005056508,83.91206415048494,2886.787739179978
20.0,5/5/2020,1759.9175595899,91.36268480327152,2975.3300117995536
20.0,6/5/2020,1670.0735449244012,99.85597654940037,3060.1640074092993
20.0,7/5/2020,1584.7663333576902,109.32765392786865,3141.716870937984
20.0,8/5/2020,1503.7894779557748,119.57054121272601,3220.5618262764756
20.0,9/5/2020,1426.9340624813326,129.7618468734244,3297.8331672138374
20.0,10/5/2020,1353.9954301226867,140.4106873280475,3373.2534597424383
20.0,11/5/2020,1284.7764363627514,151.1761892714696,3447.3346891739075
20.0,12/5/2020,1219.0887698228166,161.83329979352436,3520.438413143755
20.0,13/5/2020,1156.7532369289477,172.23915395800202,3592.8215830340678
20.0,14/5/2020,1097.599580438535,182.3072109607365,3664.666187927269
20.0,15/5/2020,1041.4661206199603,191.98866043032393,3736.100186617185
20.0,16/5/2020,988.1993434586857,201.25953462350864,3807.213339420883
20.0,17/5/2020,937.7496648602764,210.11196752821516,3878.069800629784
20.0,18/5/2020,889.8972482790356,218.54834842790004,3948.7177802752167
20.0,19/5/2020,844.506709104184,226.57744910487304,4019.194445093228
20.0,20/5/2020,801.4503531775358,234.21187771859456,4089.530203660856
20.0,21/5/2020,760.6076624768616,241.465906392494,4159.752215760306
20.0,22/5/2020,721.8648020160416,248.3549041920559,4229.885823377944
20.0,23/5/2020,685.1141722719016,254.89516605492713,4299.955236836886
20.0,24/5/2020,650.2540069789507,261.10320051101496,4369.984519763158
20.0,25/5/2020,617.18801415458,266.9952744006762,4439.9981551546
20.0,26/5/2020,585.8250524953551,272.5871502978208,4510.021316798482
20.0,27/5/2020,556.0788381088876,277.89394935816114,4580.0799545999125
20.0,28/5/2020,527.8676765683888,282.93009564512136,4650.200766243884
20.0,29/5/2020,501.11421648620103,287.70930991835104,4720.411106066466
20.0,30/5/2020,475.74522163967885,292.2446288457728,4790.738867386099
20.0,31/5/2020,451.6913593543821,296.548434569821,4861.21236099993
,1/6/2020,428.8870033597288,300.6324869248798,4931.860202087718
21.0,29/2/2020,30.0,0.0,0.0
21.0,1/3/2020,33.89390992917136,0.0,0.7629869280986796
21.0,2/3/2020,37.736987606582865,0.0,1.711147121279559
21.0,3/3/2020,41.544493478742474,0.0,2.839042841074644
21.0,4/3/2020,45.33109331334872,0.0,4.141201493539497
21.0,5/3/2020,50.5624536908436,0.0,5.74232977713115
21.0,6/3/2020,54.219486341290235,0.0,7.421881288192522
21.0,7/3/2020,57.88968808072441,0.0,9.257144677687783
21.0,8/3/2020,61.63256291287191,0.0,11.244847605504251
21.0,9/3/2020,67.88785064721998,0.0,13.748224656788356
21.0,10/3/2020,74.2908364918183,0.0,16.52986590959575
21.0,11/3/2020,83.83634795347464,0.0,20.100369817871307
21.0,12/3/2020,90.34969552709595,0.0,23.497593362475357
21.0,13/3/2020,100.57894344812041,0.0,27.847823021746258
21.0,14/3/2020,62.9105642946743,0.0,21.98782207809015
21.0,15/3/2020,51.50736208770164,0.0,24.457230902447694
21.0,16/3/2020,64.6281818367894,0.0,26.347585920288868
21.0,17/3/2020,67.90476225420626,0.04044484410402549,28.858112687599068
21.0,18/3/2020,72.30944708207062,0.0969301965226249,31.55523912577371
