State Id,Number of infected (new),Number of Death (New),Number of Recovery (New)
1.0,55.863538438134185,270.1455420085345,697.7584930491053
1.0,52.91120993452574,260.3640391672389,664.8929439506601
1.0,50.12964006411863,250.87738906428677,633.5738929710399
1.0,47.50759597987059,241.68215508750092,603.7287847753926
1.0,45.03470452767942,232.77431269435192,575.2884304826453
1.0,42.70137611989958,224.14933751311253,548.1868583025913
1.0,40.49873622228006,215.80228407234722,522.3611695368115
1.0,38.418563613706255,207.72785604995588,497.75139999342935
1.0,36.45323468202878,199.9204688577476,474.3003868109634
1.0,34.595673104488014,192.37430530671236,451.95364064023624
1.0,32.83930433611749,185.08336503198967,430.6592230969631
1.0,31.17801440041515,178.0415082950847,410.36762937568096
1.0,29.606112529732854,171.2424947240824,391.03167589110404
1.0,28.118297257127807,164.68001750033616,372.60639280176224
1.0,26.709625605821202,158.34773345215797,355.0489212607514
1.0,25.375485062410007,152.23928947218354,338.3184152325719
1.0,24.111568051592258,146.34834563507883,322.37594770835295
1.0,22.91384866642329,140.66859535583262,307.1844211562284
1.0,21.77856142941164,135.19378289577645,292.7084820381403
1.0,20.70218188816216,129.91771849343735,278.91443923075036
1.0,19.681408866732482,124.83429137010413,265.77018618719137
1.0,18.713148215565525,119.93748083534186,253.24512668293434
1.0,17.794497917995614,115.22136569539518,241.31010399178402
1.0,16.922734425683302,110.68013214727034,229.93733334215722
1.0,16.09530010868275,106.30808032308258,219.10033750884915
1.0,15.309791719904752,102.09962963282166,208.77388540307723
1.0,14.563949777833841,98.04932303885565,198.9339335222439
1.0,13.855648789524821,94.15183038211131,189.5575701350562
1.0,13.182888234128768,90.40195086780082,180.62296207271206
1.0,12.54378424461811,86.79461480767839,172.10930401194003
1.0,11.936561922496367,83.3248847059989,163.9967701312304
1.0,11.359548233605878,79.9879557675009,156.26646803387882
1.0,10.811165434135546,76.7791558977622,148.90039483187158
1.0,10.289924982169396,73.69394525908544,141.88139529078356
1.0,9.794421893106119,70.72791543859176,135.19312193902323
1.0,9.323329505067704,67.87678827935787,128.81999705298614
1.0,8.875394615336518,65.1364144201676,122.74717642533997
1.0,8.449432963797335,62.502771584702955,116.96051483946916
1.0,8.044325030818072,59.971962656722155,111.44653316556827
1.0,7.6590121259414445,57.54021357391656,106.19238700401576
1.0,7.292492745760683,55.20387106966413,101.18583680484258
1.0,6.9438191776203055,52.95940028876473,96.4152193917503
1.0,6.61209433224667,50.80338230042062,91.86942082690265
1.0,6.296468785995785,48.732511529182446,87.53785055176552
1.0,5.996138018540485,46.74359312228922,83.4104167457524
1.0,5.710339829985962,44.83354026976655,79.47750284411097
1.0,5.4383519249204255,42.99937149178801,75.7299451613719
1.0,5.179489650929561,41.23820790612971,72.15901156818128
1.0,4.933103879506241,39.547270487040784,68.75638117113706
1.0,4.6985790212747816,37.923877325495155,65.51412495062276
1.0,4.475331163245983,36.36544089956932,62.42468730883648
1.0,4.262806321592279,34.869465362592436,59.480868487307035
1.0,4.060478800711735,33.433543855728054,56.67580781178928
1.0,3.8678496521336,32.055355850759724,54.0029677265195
